date;type;;;Holiday;Description
01/01/2022;Not a Workday;;;01/01/2022;New Year's Day
02/01/2022;Not a Workday;;;14/04/2022;Maundy Thursday
03/01/2022;Workday;;;15/04/2022;Good Friday
04/01/2022;Workday;;;17/04/2022;Easter Sunday
05/01/2022;Workday;;;18/04/2022;Easter Monday
06/01/2022;Workday;;;13/05/2022;Prayer Day
07/01/2022;Workday;;;26/05/2022;Ascension Day
08/01/2022;Not a Workday;;;05/06/2022;Whit Sunday
09/01/2022;Not a Workday;;;06/06/2022;Whit Monday
10/01/2022;Workday;;;25/12/2022;Christmas Day
11/01/2022;Workday;;;26/12/2022;2nd Day of Christmas
12/01/2022;Workday;;;01/01/2023;New Year's Day
13/01/2022;Workday;;;06/04/2023;Maundy Thursday
14/01/2022;Workday;;;07/04/2023;Good Friday
15/01/2022;Not a Workday;;;09/04/2023;Easter Sunday
16/01/2022;Not a Workday;;;10/04/2023;Easter Monday
17/01/2022;Workday;;;05/05/2023;Prayer Day
18/01/2022;Workday;;;18/05/2023;Ascension Day
19/01/2022;Workday;;;28/05/2023;Whit Sunday
20/01/2022;Workday;;;29/05/2023;Whit Monday
21/01/2022;Workday;;;25/12/2023;Christmas Day
22/01/2022;Not a Workday;;;26/12/2023;2nd Day of Christmas
23/01/2022;Not a Workday;;;01/01/2024;New Year's Day
24/01/2022;Workday;;;28/03/2024;Maundy Thursday
25/01/2022;Workday;;;29/03/2024;Good Friday
26/01/2022;Workday;;;31/03/2024;Easter Sunday
27/01/2022;Workday;;;01/04/2024;Easter Monday
28/01/2022;Workday;;;09/05/2024;Ascension Day
29/01/2022;Not a Workday;;;19/05/2024;Whit Sunday
30/01/2022;Not a Workday;;;20/05/2024;Whit Monday
31/01/2022;Workday;;;25/12/2024;Christmas Day
01/02/2022;Workday;;;26/12/2024;2nd Day of Christmas
02/02/2022;Workday;;;;
03/02/2022;Workday;;;;
04/02/2022;Workday;;;;
05/02/2022;Not a Workday;;;;
06/02/2022;Not a Workday;;;;
07/02/2022;Workday;;;;
08/02/2022;Workday;;;;
09/02/2022;Workday;;;;
10/02/2022;Workday;;;;
11/02/2022;Workday;;;;
12/02/2022;Not a Workday;;;;
13/02/2022;Not a Workday;;;;
14/02/2022;Workday;;;;
15/02/2022;Workday;;;;
16/02/2022;Workday;;;;
17/02/2022;Workday;;;;
18/02/2022;Workday;;;;
19/02/2022;Not a Workday;;;;
20/02/2022;Not a Workday;;;;
21/02/2022;Workday;;;;
22/02/2022;Workday;;;;
23/02/2022;Workday;;;;
24/02/2022;Workday;;;;
25/02/2022;Workday;;;;
26/02/2022;Not a Workday;;;;
27/02/2022;Not a Workday;;;;
28/02/2022;Workday;;;;
01/03/2022;Workday;;;;
02/03/2022;Workday;;;;
03/03/2022;Workday;;;;
04/03/2022;Workday;;;;
05/03/2022;Not a Workday;;;;
06/03/2022;Not a Workday;;;;
07/03/2022;Workday;;;;
08/03/2022;Workday;;;;
09/03/2022;Workday;;;;
10/03/2022;Workday;;;;
11/03/2022;Workday;;;;
12/03/2022;Not a Workday;;;;
13/03/2022;Not a Workday;;;;
14/03/2022;Workday;;;;
15/03/2022;Workday;;;;
16/03/2022;Workday;;;;
17/03/2022;Workday;;;;
18/03/2022;Workday;;;;
19/03/2022;Not a Workday;;;;
20/03/2022;Not a Workday;;;;
21/03/2022;Workday;;;;
22/03/2022;Workday;;;;
23/03/2022;Workday;;;;
24/03/2022;Workday;;;;
25/03/2022;Workday;;;;
26/03/2022;Not a Workday;;;;
27/03/2022;Not a Workday;;;;
28/03/2022;Workday;;;;
29/03/2022;Workday;;;;
30/03/2022;Workday;;;;
31/03/2022;Workday;;;;
01/04/2022;Workday;;;;
02/04/2022;Not a Workday;;;;
03/04/2022;Not a Workday;;;;
04/04/2022;Workday;;;;
05/04/2022;Workday;;;;
06/04/2022;Workday;;;;
07/04/2022;Workday;;;;
08/04/2022;Workday;;;;
09/04/2022;Not a Workday;;;;
10/04/2022;Not a Workday;;;;
11/04/2022;Workday;;;;
